student_id,club_id,date_adhesion,role
521,1,2025-11-10,membre
1255,1,2024-06-08,membre
583,1,2026-11-18,membre
191,1,2026-01-02,membre
1441,1,2025-06-23,bureau
1038,1,2024-06-22,membre
1340,1,2025-09-19,membre
1356,1,2026-12-26,membre
536,1,2026-09-14,membre
175,1,2026-12-06,membre
1419,1,2023-10-05,membre
1430,1,2024-06-01,membre
1297,1,2026-12-15,membre
752,1,2026-08-20,membre
119,1,2025-12-03,membre
394,1,2026-12-27,bureau
1437,1,2025-05-02,membre
860,1,2026-02-05,membre
471,1,2025-07-04,membre
716,1,2026-12-07,membre
161,1,2026-09-09,membre
1240,1,2025-03-11,membre
929,1,2026-08-05,membre
1074,1,2024-01-11,membre
920,1,2025-05-24,membre
591,1,2024-12-03,membre
826,1,2024-01-09,membre
926,1,2026-09-11,membre
594,1,2026-06-09,membre
512,1,2025-01-21,membre
538,1,2026-02-03,membre
487,1,2025-03-05,membre
1135,1,2024-02-25,bureau
1133,1,2026-03-20,membre
1259,1,2025-05-15,membre
1103,1,2025-07-17,membre
427,2,2026-12-13,membre
781,2,2022-08-21,bureau
724,2,2025-03-30,membre
884,2,2025-12-22,membre
804,2,2026-03-16,membre
542,2,2025-03-13,membre
947,2,2025-08-31,membre
637,2,2024-10-15,membre
1030,2,2024-01-05,membre
168,2,2026-01-19,membre
1390,2,2024-02-28,membre
1195,2,2026-04-20,membre
851,2,2025-06-04,membre
75,2,2026-11-27,membre
807,2,2026-07-16,membre
531,2,2024-01-18,membre
175,2,2026-02-23,membre
451,2,2026-11-19,membre
554,2,2025-11-29,membre
737,2,2025-01-10,membre
1127,2,2024-12-31,bureau
18,2,2026-03-29,membre
494,2,2026-11-02,membre
1398,2,2026-06-24,membre
760,2,2025-11-01,membre
404,2,2025-02-23,membre
914,2,2025-05-07,membre
1465,2,2024-05-08,membre
411,2,2025-12-05,bureau
444,2,2026-08-08,membre
477,2,2026-05-23,membre
837,2,2026-09-12,bureau
1358,2,2025-11-10,membre
392,2,2026-10-19,membre
70,2,2026-11-23,membre
1468,2,2024-11-21,membre
315,2,2026-12-13,membre
252,2,2025-07-13,membre
922,2,2025-10-12,membre
534,2,2026-11-10,membre
879,2,2026-10-29,membre
436,2,2025-12-11,membre
1070,3,2026-08-18,membre
867,3,2026-03-02,bureau
1226,3,2024-01-01,membre
742,3,2026-09-20,membre
1075,3,2026-01-01,bureau
1305,3,2025-10-02,membre
885,3,2025-12-14,membre
1210,3,2025-06-24,membre
8,3,2026-09-27,membre
1042,3,2026-04-03,membre
1430,3,2026-09-21,membre
1106,3,2025-09-13,bureau
593,3,2026-12-23,membre
197,3,2026-12-28,membre
478,3,2026-01-13,membre
517,3,2026-03-23,membre
466,3,2024-04-22,membre
165,3,2025-09-09,membre
775,3,2026-01-28,membre
1311,3,2024-02-28,membre
176,3,2022-10-25,membre
1244,3,2026-09-19,membre
502,3,2026-11-27,membre
826,3,2026-05-30,membre
927,3,2026-07-15,membre
812,3,2026-02-05,membre
1077,3,2026-06-27,membre
544,3,2025-11-27,membre
234,3,2026-11-24,membre
1498,3,2024-11-02,membre
1350,3,2026-01-11,membre
595,3,2026-09-10,membre
1084,3,2023-10-28,membre
691,3,2026-01-11,membre
105,3,2026-12-11,membre
238,3,2026-07-12,membre
1269,4,2026-03-20,membre
1069,4,2026-09-20,bureau
1395,4,2025-08-11,membre
