id,nom,catégorie,date_creation
1,Leadership Club,Entrepreneurship,2026-02-20
2,Startup Club,Entrepreneurship,2022-01-24
3,Tennis Club,Sports,2023-06-30
4,Innovation & Business Club,Entrepreneurship,2024-01-19
5,Gaming Club,Gaming,2023-01-13
6,Cultural Exchange Club,Culture,2022-09-06
7,Fitness Club,Sports,2023-07-12
8,AI & Robotics Club,Technology,2021-12-12
9,Web Development Club,Technology,2024-02-13
10,Science Club,Science,2024-06-14
11,Physics Club,Science,2024-05-01
12,Video Games Club,Gaming,2024-09-26
13,Film Club,Arts,2023-09-15
14,Board Games Club,Gaming,2021-09-08
15,Business Innovation Club,Entrepreneurship,2025-08-04
16,Badminton Club,Sports,2025-08-04
17,Machine Learning Club,Technology,2026-03-28
18,Young Entrepreneurs Club,Entrepreneurship,2021-09-05
19,Computer Science Club,Technology,2023-12-16
20,Programming Club,Technology,2025-11-01
21,Open Source Club,Technology,2023-10-29
22,Swimming Club,Sports,2025-07-26
23,Martial Arts Club,Sports,2022-05-19
24,Chess Sports Club,Sports,2022-11-12
25,Music Club,Arts,2025-02-02
26,Languages Club,Culture,2024-03-19
27,Cybersecurity Club,Technology,2023-09-06
28,Athletics Club,Sports,2026-03-02
29,IoT Club,Technology,2026-01-10
30,Cloud Computing Club,Technology,2022-07-03
31,Literature Club,Culture,2022-05-08
32,Handball Club,Sports,2024-06-13
33,DevOps Club,Technology,2023-11-20
34,Table Tennis Club,Sports,2022-09-30
35,Chess Club,Gaming,2022-03-16
36,Football Club,Sports,2023-09-08
37,Debate & Culture Club,Culture,2024-02-02
38,History Club,Culture,2024-11-13
39,Moroccan Heritage Club,Culture,2024-03-21
40,Strategy Games Club,Gaming,2022-09-19
41,Student Community Club,Social,2026-03-08
42,Social Activities Club,Social,2021-12-08
43,Coding Club,Technology,2024-09-10
44,Software Engineering Club,Technology,2021-10-14
45,Esports Club,Gaming,2023-12-25
46,Humanitarian Club,Social,2023-12-31
47,Painting Club,Arts,2025-01-10
48,Game Development Club,Gaming,2023-09-20
49,Data Science Club,Technology,2026-05-30
50,Volunteering Club,Social,2025-02-03
51,Astronomy Club,Science,2025-08-05
52,Future Leaders Club,Entrepreneurship,2025-01-13
53,Running Club,Sports,2024-03-21
54,Photography Club,Arts,2022-10-10
55,International Students Club,Culture,2023-07-29
56,Tech Innovation Club,Technology,2021-12-05
57,World Cultures Club,Culture,2023-07-07
58,Cultural Discovery Club,Culture,2022-12-31
59,Dance Club,Arts,2025-04-04
60,Creative Arts Club,Arts,2023-05-13
61,Philosophy Club,Culture,2024-06-01
62,Research Club,Science,2026-07-16
63,Entrepreneurship Club,Entrepreneurship,2023-01-04
64,Mathematics Club,Science,2022-09-12
65,Volleyball Club,Sports,2022-12-16
66,Community Service Club,Social,2023-04-26
67,Basketball Club,Sports,2022-09-21
68,Cycling Club,Sports,2022-10-29
69,Charity Club,Social,2025-04-04
70,Drama Club,Arts,2026-02-21
